algorithm,scenario,size,digits,repetition,execution_time,memory_used_bytes
bubble_sort,random,1000,1,1,0.001314,4000
bubble_sort,random,1000,1,1,0.001324,4000
bubble_sort,random,1000,1,1,0.001302,4000
bubble_sort,random,2000,1,1,0.005097,8000
bubble_sort,random,2000,1,1,0.005200,8000
bubble_sort,random,2000,1,1,0.005071,8000
bubble_sort,random,3000,1,1,0.011779,12000
bubble_sort,random,3000,1,1,0.011708,12000
bubble_sort,random,3000,1,1,0.011487,12000
bubble_sort,random,4000,1,1,0.022240,16000
bubble_sort,random,4000,1,1,0.021893,16000
bubble_sort,random,4000,1,1,0.021699,16000
bubble_sort,random,5000,1,1,0.036431,20000
bubble_sort,random,5000,1,1,0.036421,20000
bubble_sort,random,5000,1,1,0.036180,20000
bubble_sort,random,6000,1,1,0.054720,24000
bubble_sort,random,6000,1,1,0.054819,24000
bubble_sort,random,6000,1,1,0.054997,24000
bubble_sort,random,7000,1,1,0.076780,28000
bubble_sort,random,7000,1,1,0.076621,28000
bubble_sort,random,7000,1,1,0.076977,28000
bubble_sort,random,8000,1,1,0.102547,32000
bubble_sort,random,8000,1,1,0.102363,32000
bubble_sort,random,8000,1,1,0.101880,32000
bubble_sort,random,9000,1,1,0.132509,36000
bubble_sort,random,9000,1,1,0.133382,36000
bubble_sort,random,9000,1,1,0.132757,36000
bubble_sort,random,10000,1,1,0.166301,40000
bubble_sort,random,10000,1,1,0.165013,40000
bubble_sort,random,10000,1,1,0.167221,40000
bubble_sort,random,11000,1,1,0.203792,44000
bubble_sort,random,11000,1,1,0.205079,44000
bubble_sort,random,11000,1,1,0.204390,44000
bubble_sort,random,12000,1,1,0.247453,48000
bubble_sort,random,12000,1,1,0.248803,48000
bubble_sort,random,12000,1,1,0.246780,48000
bubble_sort,random,13000,1,1,0.293216,52000
bubble_sort,random,13000,1,1,0.294080,52000
bubble_sort,random,13000,1,1,0.295516,52000
bubble_sort,random,14000,1,1,0.342825,56000
bubble_sort,random,14000,1,1,0.343195,56000
bubble_sort,random,14000,1,1,0.344842,56000
bubble_sort,random,15000,1,1,0.396135,60000
bubble_sort,random,15000,1,1,0.395838,60000
bubble_sort,random,15000,1,1,0.396772,60000
bubble_sort,random,16000,1,1,0.458260,64000
bubble_sort,random,16000,1,1,0.455043,64000
bubble_sort,random,16000,1,1,0.454473,64000
bubble_sort,random,17000,1,1,0.520201,68000
bubble_sort,random,17000,1,1,0.521096,68000
bubble_sort,random,17000,1,1,0.522300,68000
bubble_sort,random,18000,1,1,0.588962,72000
bubble_sort,random,18000,1,1,0.585719,72000
bubble_sort,random,18000,1,1,0.590711,72000
bubble_sort,random,19000,1,1,0.657605,76000
bubble_sort,random,19000,1,1,0.659296,76000
bubble_sort,random,19000,1,1,0.658008,76000
bubble_sort,random,20000,1,1,0.731053,80000
bubble_sort,random,20000,1,1,0.733961,80000
bubble_sort,random,20000,1,1,0.736089,80000
bubble_sort,random,21000,1,1,0.810425,84000
bubble_sort,random,21000,1,1,0.813518,84000
bubble_sort,random,21000,1,1,0.814676,84000
bubble_sort,random,22000,1,1,0.896402,88000
bubble_sort,random,22000,1,1,0.893253,88000
bubble_sort,random,22000,1,1,0.892555,88000
bubble_sort,random,23000,1,1,0.978894,92000
bubble_sort,random,23000,1,1,0.980062,92000
bubble_sort,random,23000,1,1,0.982284,92000
bubble_sort,random,24000,1,1,1.076480,96000
bubble_sort,random,24000,1,1,1.072264,96000
bubble_sort,random,24000,1,1,1.073675,96000
bubble_sort,random,25000,1,1,1.170504,100000
bubble_sort,random,25000,1,1,1.161090,100000
bubble_sort,random,25000,1,1,1.167270,100000
bubble_sort,random,26000,1,1,1.263971,104000
bubble_sort,random,26000,1,1,1.271402,104000
bubble_sort,random,26000,1,1,1.262296,104000
bubble_sort,random,27000,1,1,1.362764,108000
bubble_sort,random,27000,1,1,1.367247,108000
bubble_sort,random,27000,1,1,1.361888,108000
bubble_sort,random,28000,1,1,1.472021,112000
bubble_sort,random,28000,1,1,1.473443,112000
bubble_sort,random,28000,1,1,1.468556,112000
bubble_sort,random,29000,1,1,1.590588,116000
bubble_sort,random,29000,1,1,1.586263,116000
bubble_sort,random,29000,1,1,1.582557,116000
bubble_sort,random,30000,1,1,1.698335,120000
bubble_sort,random,30000,1,1,1.696626,120000
bubble_sort,random,30000,1,1,1.700880,120000
bubble_sort,random,31000,1,1,1.822871,124000
bubble_sort,random,31000,1,1,1.815420,124000
bubble_sort,random,31000,1,1,1.815787,124000
bubble_sort,random,32000,1,1,1.946173,128000
bubble_sort,random,32000,1,1,1.946194,128000
bubble_sort,random,32000,1,1,1.942124,128000
bubble_sort,random,33000,1,1,2.075552,132000
bubble_sort,random,33000,1,1,2.068042,132000
bubble_sort,random,33000,1,1,2.067889,132000
bubble_sort,random,34000,1,1,2.202012,136000
bubble_sort,random,34000,1,1,2.197947,136000
bubble_sort,random,34000,1,1,2.194105,136000
bubble_sort,random,35000,1,1,2.320823,140000
bubble_sort,random,35000,1,1,2.334119,140000
bubble_sort,random,35000,1,1,2.327225,140000
bubble_sort,random,36000,1,1,2.465845,144000
bubble_sort,random,36000,1,1,2.468824,144000
bubble_sort,random,36000,1,1,2.460195,144000
bubble_sort,random,37000,1,1,2.601320,148000
bubble_sort,random,37000,1,1,2.627217,148000
bubble_sort,random,37000,1,1,2.611982,148000
bubble_sort,random,38000,1,1,2.762079,152000
bubble_sort,random,38000,1,1,2.751855,152000
bubble_sort,random,38000,1,1,2.727879,152000
bubble_sort,random,39000,1,1,2.881501,156000
bubble_sort,random,39000,1,1,2.901333,156000
bubble_sort,random,39000,1,1,2.899741,156000
bubble_sort,random,40000,1,1,3.062898,160000
bubble_sort,random,40000,1,1,3.057220,160000
bubble_sort,random,40000,1,1,3.068848,160000
bubble_sort,random,41000,1,1,3.222493,164000
bubble_sort,random,41000,1,1,3.226711,164000
bubble_sort,random,41000,1,1,3.209237,164000
bubble_sort,random,42000,1,1,3.374803,168000
bubble_sort,random,42000,1,1,3.379360,168000
bubble_sort,random,42000,1,1,3.384497,168000
bubble_sort,random,43000,1,1,3.535072,172000
bubble_sort,random,43000,1,1,3.549190,172000
bubble_sort,random,43000,1,1,3.545275,172000
bubble_sort,random,44000,1,1,3.705830,176000
bubble_sort,random,44000,1,1,3.712491,176000
bubble_sort,random,44000,1,1,3.710353,176000
bubble_sort,random,45000,1,1,3.891426,180000
bubble_sort,random,45000,1,1,3.891997,180000
bubble_sort,random,45000,1,1,3.889182,180000
bubble_sort,random,46000,1,1,4.044789,184000
bubble_sort,random,46000,1,1,4.070435,184000
bubble_sort,random,46000,1,1,4.070557,184000
bubble_sort,random,47000,1,1,4.240024,188000
bubble_sort,random,47000,1,1,4.240549,188000
bubble_sort,random,47000,1,1,4.239196,188000
bubble_sort,random,48000,1,1,4.427845,192000
bubble_sort,random,48000,1,1,4.436052,192000
bubble_sort,random,48000,1,1,4.419748,192000
bubble_sort,random,49000,1,1,4.603004,196000
bubble_sort,random,49000,1,1,4.577030,196000
bubble_sort,random,49000,1,1,4.620098,196000
bubble_sort,random,50000,1,1,4.798409,200000
bubble_sort,random,50000,1,1,4.789920,200000
bubble_sort,random,50000,1,1,4.808785,200000
bubble_sort,random,51000,1,1,4.984008,204000
bubble_sort,random,51000,1,1,4.991467,204000
bubble_sort,random,51000,1,1,5.011367,204000
bubble_sort,random,52000,1,1,5.194965,208000
bubble_sort,random,52000,1,1,5.209228,208000
bubble_sort,random,52000,1,1,5.199764,208000
bubble_sort,random,53000,1,1,5.407002,212000
bubble_sort,random,53000,1,1,5.413765,212000
bubble_sort,random,53000,1,1,5.402341,212000
bubble_sort,random,54000,1,1,5.623290,216000
bubble_sort,random,54000,1,1,5.608450,216000
bubble_sort,random,54000,1,1,5.622773,216000
bubble_sort,random,55000,1,1,5.822485,220000
bubble_sort,random,55000,1,1,5.818519,220000
bubble_sort,random,55000,1,1,5.826701,220000
bubble_sort,random,56000,1,1,6.052064,224000
bubble_sort,random,56000,1,1,6.068547,224000
bubble_sort,random,56000,1,1,6.051436,224000
bubble_sort,random,57000,1,1,6.262676,228000
