algorithm,scenario,size,digits,repetition,execution_time,memory_used_bytes
bubble_sort,reverse,1000,1,1,0.002368,4000
bubble_sort,reverse,1000,1,2,0.002324,4000
bubble_sort,reverse,1000,1,3,0.002326,4000
bubble_sort,reverse,2000,1,1,0.009384,8000
bubble_sort,reverse,2000,1,2,0.009144,8000
bubble_sort,reverse,2000,1,3,0.009197,8000
bubble_sort,reverse,3000,1,1,0.020778,12000
bubble_sort,reverse,3000,1,2,0.020587,12000
bubble_sort,reverse,3000,1,3,0.020501,12000
bubble_sort,reverse,4000,1,1,0.036472,16000
bubble_sort,reverse,4000,1,2,0.036496,16000
bubble_sort,reverse,4000,1,3,0.036443,16000
bubble_sort,reverse,5000,1,1,0.057249,20000
bubble_sort,reverse,5000,1,2,0.056894,20000
bubble_sort,reverse,5000,1,3,0.056925,20000
bubble_sort,reverse,6000,1,1,0.081926,24000
bubble_sort,reverse,6000,1,2,0.081983,24000
bubble_sort,reverse,6000,1,3,0.081932,24000
bubble_sort,reverse,7000,1,1,0.111529,28000
bubble_sort,reverse,7000,1,2,0.111533,28000
bubble_sort,reverse,7000,1,3,0.111828,28000
bubble_sort,reverse,8000,1,1,0.146152,32000
bubble_sort,reverse,8000,1,2,0.145806,32000
bubble_sort,reverse,8000,1,3,0.145913,32000
bubble_sort,reverse,9000,1,1,0.184395,36000
bubble_sort,reverse,9000,1,2,0.184363,36000
bubble_sort,reverse,9000,1,3,0.184636,36000
bubble_sort,reverse,10000,1,1,0.228031,40000
bubble_sort,reverse,10000,1,2,0.228163,40000
bubble_sort,reverse,10000,1,3,0.227764,40000
bubble_sort,reverse,11000,1,1,0.275640,44000
bubble_sort,reverse,11000,1,2,0.275726,44000
bubble_sort,reverse,11000,1,3,0.275943,44000
bubble_sort,reverse,12000,1,1,0.327757,48000
bubble_sort,reverse,12000,1,2,0.328294,48000
bubble_sort,reverse,12000,1,3,0.328911,48000
bubble_sort,reverse,13000,1,1,0.384912,52000
bubble_sort,reverse,13000,1,2,0.385530,52000
bubble_sort,reverse,13000,1,3,0.384979,52000
bubble_sort,reverse,14000,1,1,0.446594,56000
bubble_sort,reverse,14000,1,2,0.447211,56000
bubble_sort,reverse,14000,1,3,0.446177,56000
bubble_sort,reverse,15000,1,1,0.512706,60000
bubble_sort,reverse,15000,1,2,0.512973,60000
bubble_sort,reverse,15000,1,3,0.512774,60000
bubble_sort,reverse,16000,1,1,0.583169,64000
bubble_sort,reverse,16000,1,2,0.583264,64000
bubble_sort,reverse,16000,1,3,0.583462,64000
bubble_sort,reverse,17000,1,1,0.659070,68000
bubble_sort,reverse,17000,1,2,0.658357,68000
bubble_sort,reverse,17000,1,3,0.658247,68000
bubble_sort,reverse,18000,1,1,0.738409,72000
bubble_sort,reverse,18000,1,2,0.738429,72000
bubble_sort,reverse,18000,1,3,0.738588,72000
bubble_sort,reverse,19000,1,1,0.822550,76000
bubble_sort,reverse,19000,1,2,0.822856,76000
bubble_sort,reverse,19000,1,3,0.822408,76000
bubble_sort,reverse,20000,1,1,0.911346,80000
bubble_sort,reverse,20000,1,2,0.911272,80000
bubble_sort,reverse,20000,1,3,0.912109,80000
bubble_sort,reverse,21000,1,1,1.004812,84000
bubble_sort,reverse,21000,1,2,1.004949,84000
bubble_sort,reverse,21000,1,3,1.005178,84000
bubble_sort,reverse,22000,1,1,1.102984,88000
bubble_sort,reverse,22000,1,2,1.103300,88000
bubble_sort,reverse,22000,1,3,1.103026,88000
bubble_sort,reverse,23000,1,1,1.206094,92000
bubble_sort,reverse,23000,1,2,1.205436,92000
bubble_sort,reverse,23000,1,3,1.205654,92000
bubble_sort,reverse,24000,1,1,1.313417,96000
bubble_sort,reverse,24000,1,2,1.312856,96000
bubble_sort,reverse,24000,1,3,1.312647,96000
bubble_sort,reverse,25000,1,1,1.424865,100000
bubble_sort,reverse,25000,1,2,1.424494,100000
bubble_sort,reverse,25000,1,3,1.423989,100000
bubble_sort,reverse,26000,1,1,1.541848,104000
bubble_sort,reverse,26000,1,2,1.541196,104000
bubble_sort,reverse,26000,1,3,1.540670,104000
bubble_sort,reverse,27000,1,1,1.661198,108000
bubble_sort,reverse,27000,1,2,1.661682,108000
bubble_sort,reverse,27000,1,3,1.661302,108000
bubble_sort,reverse,28000,1,1,1.786632,112000
bubble_sort,reverse,28000,1,2,1.786833,112000
bubble_sort,reverse,28000,1,3,1.786268,112000
bubble_sort,reverse,29000,1,1,1.916876,116000
bubble_sort,reverse,29000,1,2,1.916518,116000
bubble_sort,reverse,29000,1,3,1.917389,116000
bubble_sort,reverse,30000,1,1,2.051343,120000
bubble_sort,reverse,30000,1,2,2.051184,120000
bubble_sort,reverse,30000,1,3,2.051588,120000
bubble_sort,reverse,31000,1,1,2.190234,124000
bubble_sort,reverse,31000,1,2,2.189842,124000
bubble_sort,reverse,31000,1,3,2.191144,124000
bubble_sort,reverse,32000,1,1,2.334088,128000
bubble_sort,reverse,32000,1,2,2.334424,128000
bubble_sort,reverse,32000,1,3,2.333842,128000
bubble_sort,reverse,33000,1,1,2.481809,132000
bubble_sort,reverse,33000,1,2,2.482328,132000
bubble_sort,reverse,33000,1,3,2.482984,132000
bubble_sort,reverse,34000,1,1,2.634813,136000
bubble_sort,reverse,34000,1,2,2.634939,136000
bubble_sort,reverse,34000,1,3,2.634402,136000
bubble_sort,reverse,35000,1,1,2.792815,140000
bubble_sort,reverse,35000,1,2,2.791435,140000
bubble_sort,reverse,35000,1,3,2.793186,140000
bubble_sort,reverse,36000,1,1,2.953966,144000
bubble_sort,reverse,36000,1,2,2.954687,144000
bubble_sort,reverse,36000,1,3,2.953818,144000
bubble_sort,reverse,37000,1,1,3.120883,148000
