algorithm,scenario,size,digits,repetition,execution_time,memory_used_bytes
bubble_sort,sorted,1000,1,1,0.001410,4000
bubble_sort,sorted,1000,1,2,0.001357,4000
bubble_sort,sorted,1000,1,3,0.000481,4000
bubble_sort,sorted,2000,1,1,0.001207,8000
bubble_sort,sorted,2000,1,2,0.001104,8000
bubble_sort,sorted,2000,1,3,0.001093,8000
bubble_sort,sorted,3000,1,1,0.002550,12000
bubble_sort,sorted,3000,1,2,0.002483,12000
bubble_sort,sorted,3000,1,3,0.002514,12000
bubble_sort,sorted,4000,1,1,0.004421,16000
bubble_sort,sorted,4000,1,2,0.004455,16000
bubble_sort,sorted,4000,1,3,0.004390,16000
bubble_sort,sorted,5000,1,1,0.006794,20000
bubble_sort,sorted,5000,1,2,0.006749,20000
bubble_sort,sorted,5000,1,3,0.006681,20000
bubble_sort,sorted,6000,1,1,0.009428,24000
bubble_sort,sorted,6000,1,2,0.009494,24000
bubble_sort,sorted,6000,1,3,0.009747,24000
bubble_sort,sorted,7000,1,1,0.012762,28000
bubble_sort,sorted,7000,1,2,0.012721,28000
bubble_sort,sorted,7000,1,3,0.012972,28000
bubble_sort,sorted,8000,1,1,0.016536,32000
bubble_sort,sorted,8000,1,2,0.016511,32000
bubble_sort,sorted,8000,1,3,0.016616,32000
bubble_sort,sorted,9000,1,1,0.021406,36000
bubble_sort,sorted,9000,1,2,0.020747,36000
bubble_sort,sorted,9000,1,3,0.020829,36000
bubble_sort,sorted,10000,1,1,0.025750,40000
bubble_sort,sorted,10000,1,2,0.026226,40000
bubble_sort,sorted,10000,1,3,0.025582,40000
bubble_sort,sorted,11000,1,1,0.030977,44000
bubble_sort,sorted,11000,1,2,0.031633,44000
bubble_sort,sorted,11000,1,3,0.030906,44000
bubble_sort,sorted,12000,1,1,0.037530,48000
bubble_sort,sorted,12000,1,2,0.037142,48000
bubble_sort,sorted,12000,1,3,0.036927,48000
bubble_sort,sorted,13000,1,1,0.043250,52000
bubble_sort,sorted,13000,1,2,0.043565,52000
bubble_sort,sorted,13000,1,3,0.043840,52000
bubble_sort,sorted,14000,1,1,0.050365,56000
bubble_sort,sorted,14000,1,2,0.050442,56000
bubble_sort,sorted,14000,1,3,0.049981,56000
bubble_sort,sorted,15000,1,1,0.058270,60000
bubble_sort,sorted,15000,1,2,0.057562,60000
bubble_sort,sorted,15000,1,3,0.057501,60000
bubble_sort,sorted,16000,1,1,0.069332,64000
bubble_sort,sorted,16000,1,2,0.065474,64000
bubble_sort,sorted,16000,1,3,0.069130,64000
bubble_sort,sorted,17000,1,1,0.076176,68000
bubble_sort,sorted,17000,1,2,0.073986,68000
bubble_sort,sorted,17000,1,3,0.074547,68000
bubble_sort,sorted,18000,1,1,0.083641,72000
bubble_sort,sorted,18000,1,2,0.083691,72000
bubble_sort,sorted,18000,1,3,0.083139,72000
bubble_sort,sorted,19000,1,1,0.092212,76000
bubble_sort,sorted,19000,1,2,0.092258,76000
bubble_sort,sorted,19000,1,3,0.092283,76000
bubble_sort,sorted,20000,1,1,0.103020,80000
bubble_sort,sorted,20000,1,2,0.104743,80000
bubble_sort,sorted,20000,1,3,0.102543,80000
bubble_sort,sorted,21000,1,1,0.112772,84000
bubble_sort,sorted,21000,1,2,0.112878,84000
bubble_sort,sorted,21000,1,3,0.112506,84000
bubble_sort,sorted,22000,1,1,0.123670,88000
bubble_sort,sorted,22000,1,2,0.123420,88000
bubble_sort,sorted,22000,1,3,0.131002,88000
bubble_sort,sorted,23000,1,1,0.135879,92000
bubble_sort,sorted,23000,1,2,0.137215,92000
bubble_sort,sorted,23000,1,3,0.136440,92000
bubble_sort,sorted,24000,1,1,0.146693,96000
bubble_sort,sorted,24000,1,2,0.146729,96000
bubble_sort,sorted,24000,1,3,0.146278,96000
bubble_sort,sorted,25000,1,1,0.160896,100000
bubble_sort,sorted,25000,1,2,0.159476,100000
bubble_sort,sorted,25000,1,3,0.162744,100000
bubble_sort,sorted,26000,1,1,0.171307,104000
bubble_sort,sorted,26000,1,2,0.171927,104000
bubble_sort,sorted,26000,1,3,0.171553,104000
bubble_sort,sorted,27000,1,1,0.187615,108000
bubble_sort,sorted,27000,1,2,0.185893,108000
bubble_sort,sorted,27000,1,3,0.195922,108000
bubble_sort,sorted,28000,1,1,0.202852,112000
bubble_sort,sorted,28000,1,2,0.202348,112000
bubble_sort,sorted,28000,1,3,0.200048,112000
bubble_sort,sorted,29000,1,1,0.221287,116000
bubble_sort,sorted,29000,1,2,0.222704,116000
bubble_sort,sorted,29000,1,3,0.218949,116000
bubble_sort,sorted,30000,1,1,0.228830,120000
bubble_sort,sorted,30000,1,2,0.232864,120000
bubble_sort,sorted,30000,1,3,0.228951,120000
bubble_sort,sorted,31000,1,1,0.243601,124000
bubble_sort,sorted,31000,1,2,0.244434,124000
bubble_sort,sorted,31000,1,3,0.243957,124000
bubble_sort,sorted,32000,1,1,0.259926,128000
bubble_sort,sorted,32000,1,2,0.260677,128000
bubble_sort,sorted,32000,1,3,0.260368,128000
bubble_sort,sorted,33000,1,1,0.276336,132000
bubble_sort,sorted,33000,1,2,0.276780,132000
bubble_sort,sorted,33000,1,3,0.275632,132000
bubble_sort,sorted,34000,1,1,0.305442,136000
bubble_sort,sorted,34000,1,2,0.294497,136000
bubble_sort,sorted,34000,1,3,0.296525,136000
bubble_sort,sorted,35000,1,1,0.309840,140000
bubble_sort,sorted,35000,1,2,0.310781,140000
bubble_sort,sorted,35000,1,3,0.312529,140000
bubble_sort,sorted,36000,1,1,0.336700,144000
bubble_sort,sorted,36000,1,2,0.328142,144000
bubble_sort,sorted,36000,1,3,0.329776,144000
bubble_sort,sorted,37000,1,1,0.344965,148000
bubble_sort,sorted,37000,1,2,0.345809,148000
bubble_sort,sorted,37000,1,3,0.346677,148000
bubble_sort,sorted,38000,1,1,0.374482,152000
bubble_sort,sorted,38000,1,2,0.366216,152000
bubble_sort,sorted,38000,1,3,0.368634,152000
bubble_sort,sorted,39000,1,1,0.387688,156000
bubble_sort,sorted,39000,1,2,0.384933,156000
bubble_sort,sorted,39000,1,3,0.385177,156000
bubble_sort,sorted,40000,1,1,0.406269,160000
bubble_sort,sorted,40000,1,2,0.409177,160000
bubble_sort,sorted,40000,1,3,0.406615,160000
bubble_sort,sorted,41000,1,1,0.426223,164000
bubble_sort,sorted,41000,1,2,0.425246,164000
bubble_sort,sorted,41000,1,3,0.425507,164000
bubble_sort,sorted,42000,1,1,0.448598,168000
bubble_sort,sorted,42000,1,2,0.453374,168000
bubble_sort,sorted,42000,1,3,0.456153,168000
bubble_sort,sorted,43000,1,1,0.468418,172000
bubble_sort,sorted,43000,1,2,0.467397,172000
bubble_sort,sorted,43000,1,3,0.467049,172000
bubble_sort,sorted,44000,1,1,0.490373,176000
bubble_sort,sorted,44000,1,2,0.491389,176000
bubble_sort,sorted,44000,1,3,0.491259,176000
bubble_sort,sorted,45000,1,1,0.512556,180000
bubble_sort,sorted,45000,1,2,0.515503,180000
bubble_sort,sorted,45000,1,3,0.514631,180000
bubble_sort,sorted,46000,1,1,0.539980,184000
bubble_sort,sorted,46000,1,2,0.539551,184000
bubble_sort,sorted,46000,1,3,0.543410,184000
bubble_sort,sorted,47000,1,1,0.565249,188000
bubble_sort,sorted,47000,1,2,0.561880,188000
bubble_sort,sorted,47000,1,3,0.559311,188000
bubble_sort,sorted,48000,1,1,0.583146,192000
bubble_sort,sorted,48000,1,2,0.591634,192000
bubble_sort,sorted,48000,1,3,0.591805,192000
bubble_sort,sorted,49000,1,1,0.611819,196000
bubble_sort,sorted,49000,1,2,0.611866,196000
bubble_sort,sorted,49000,1,3,0.609222,196000
bubble_sort,sorted,50000,1,1,0.641952,200000
bubble_sort,sorted,50000,1,2,0.645415,200000
bubble_sort,sorted,50000,1,3,0.652859,200000
bubble_sort,sorted,51000,1,1,0.669288,204000
bubble_sort,sorted,51000,1,2,0.661431,204000
bubble_sort,sorted,51000,1,3,0.662771,204000
bubble_sort,sorted,52000,1,1,0.695164,208000
bubble_sort,sorted,52000,1,2,0.692990,208000
bubble_sort,sorted,52000,1,3,0.702883,208000
bubble_sort,sorted,53000,1,1,0.713762,212000
bubble_sort,sorted,53000,1,2,0.714573,212000
bubble_sort,sorted,53000,1,3,0.719928,212000
bubble_sort,sorted,54000,1,1,0.740295,216000
bubble_sort,sorted,54000,1,2,0.748384,216000
bubble_sort,sorted,54000,1,3,0.748153,216000
bubble_sort,sorted,55000,1,1,0.770786,220000
bubble_sort,sorted,55000,1,2,0.775321,220000
